CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,NUMBER OF PERSONS KILLED,NUMBER OF PERSONS INJURED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE_MAKE,DRIVER_LICENSE_STATUS,VEHICLE_TYPE,PERSON_INJURY,PERSON_AGE,PERSON_SEX,TOTAL_INCIDENTS
4/12/20,12:18,MANHATTAN,10002,0,0,Driver Inattention/Distraction,YAMAHA,Licensed,motorcycle,Unspecified,57,M,4
10/24/24,17:40,BRONX,10472,0,0,Driver Inattention/Distraction,OTHER,Permit,motorcycle,Unspecified,24,M,2
6/2/24,16:00,BRONX,10466,0,2,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Injured,62,M,2
9/5/20,11:53,QUEENS,11106,1,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Injured,30,M,2
8/7/24,23:55,BROOKLYN,11235,0,0,Aggressive Driving/Road Rage,OTHER,Unlicensed,motorcycle,Unspecified,15,M,2
8/31/23,8:00,QUEENS,11691,0,0,Backing Unsafely,OTHER,Licensed,motorcycle,Unspecified,63,F,2
10/27/23,5:43,BRONX,10457,0,1,Driver Inattention/Distraction,OTHER,Licensed,moped,Unspecified,32,F,2
8/20/23,12:25,QUEENS,11101,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,motorcycle,Unspecified,26,M,2
6/23/20,19:00,BROOKLYN,11236,0,3,Unspecified,YAMAHA,Licensed,motorcycle,Unspecified,31,M,2
7/11/23,1:21,BRONX,10451,0,2,Traffic Control Disregarded,OTHER,Unlicensed,moped,Injured,15,M,2
5/27/21,17:48,BROOKLYN,11228,0,1,Unspecified,OTHER,Licensed,motorcycle,Unspecified,35,F,2
6/13/23,20:11,STATEN ISLAND,10312,0,0,Failure to Yield Right-of-Way,YAMAHA,Licensed,motorbike,Unspecified,27,M,2
5/5/21,21:58,MANHATTAN,10009,0,0,Unspecified,OTHER,Licensed,moped,Unspecified,26,M,2
8/31/23,8:00,QUEENS,11691,0,0,Backing Unsafely,OTHER,Licensed,motorcycle,Unspecified,39,M,2
10/16/21,15:11,BROOKLYN,11224,0,2,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,55,M,2
9/7/24,22:11,BROOKLYN,11209,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,23,M,2
3/24/20,18:40,BROOKLYN,11206,0,0,Following Too Closely,OTHER,Licensed,motorcycle,Unspecified,19,M,2
5/1/22,21:43,BRONX,10454,0,0,Alcohol Involvement,OTHER,Licensed,motorcycle,Unspecified,37,M,2
8/4/24,0:37,BROOKLYN,11212,0,4,Unsafe Speed,OTHER,Licensed,moped,Injured,25,M,2
6/28/22,17:33,BROOKLYN,11225,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,37,M,2
5/12/23,16:58,BROOKLYN,11238,0,2,Turning Improperly,OTHER,Licensed,motorcycle,Unspecified,47,M,2
5/12/23,16:58,BROOKLYN,11238,0,2,Turning Improperly,OTHER,Licensed,motorcycle,Injured,35,M,2
5/27/21,17:48,BROOKLYN,11228,0,1,Unspecified,OTHER,Licensed,motorcycle,Injured,55,M,2
6/2/24,16:00,BRONX,10466,0,2,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Injured,71,M,2
9/5/20,11:53,QUEENS,11106,1,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Killed,65,M,2
10/18/23,20:29,MANHATTAN,10032,0,0,Unsafe Speed,YAMAHA,Permit,motorcycle,Unspecified,37,M,2
6/10/22,22:04,BROOKLYN,11207,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,27,M,2
10/16/21,15:11,BROOKLYN,11224,0,2,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,23,M,2
6/23/20,19:00,BROOKLYN,11236,0,3,Unspecified,YAMAHA,Licensed,motorcycle,Injured,36,M,2
6/23/20,19:00,BROOKLYN,11236,0,3,Unspecified,YAMAHA,Licensed,motorcycle,Unspecified,25,M,2
8/28/23,19:40,BROOKLYN,11208,0,2,Turning Improperly,OTHER,Licensed,motorcycle,Injured,26,M,2
9/7/24,22:11,BROOKLYN,11209,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,70,M,2
7/15/22,19:06,BROOKLYN,11203,0,1,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Unspecified,62,M,2
7/11/23,1:21,BRONX,10451,0,2,Traffic Control Disregarded,OTHER,Unlicensed,moped,Unspecified,47,M,2
2/8/20,23:35,QUEENS,11106,0,0,Alcohol Involvement,BMW,Licensed,moped,Unspecified,32,M,2
6/3/21,15:30,BRONX,10458,0,0,Driver Inattention/Distraction,OTHER,Unlicensed,motorcycle,Unspecified,33,M,2
8/20/23,12:25,QUEENS,11101,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,motorcycle,Unspecified,28,M,2
5/1/22,21:43,BRONX,10454,0,0,Alcohol Involvement,OTHER,Licensed,motorcycle,Unspecified,42,M,2
11/30/24,16:20,BRONX,10458,0,1,Turning Improperly,OTHER,Licensed,moped,Unspecified,32,F,2
4/18/24,10:42,BROOKLYN,11219,0,0,Driver Inexperience,OTHER,Licensed,moped,Unspecified,52,M,2
6/2/24,16:00,BRONX,10466,0,2,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Unspecified,45,M,2
5/18/24,16:03,BROOKLYN,11223,0,2,Driver Inexperience,OTHER,Unlicensed,moped,Injured,22,M,2
